ts_utc,symbol,equity,strategy_return,signal,position
2022-01-01T00:00:00Z,SPY,1.01,0.01,1,0.0
2022-01-02T00:00:00Z,SPY,1.00596,-0.004,1,1.0
2022-01-03T00:00:00Z,SPY,1.01199576,0.006,1,1.0
2022-01-04T00:00:00Z,SPY,1.01503174728,0.003,0,1.0
2022-01-05T00:00:00Z,SPY,1.0130016837854399,-0.002,0,0.0
2022-01-06T00:00:00Z,SPY,1.0180666922043669,0.005,1,0.0
2022-01-07T00:00:00Z,SPY,1.0221389589731844,0.004,1,1.0
2022-01-08T00:00:00Z,SPY,1.0190725420962647,-0.003,-1,1.0
2022-01-09T00:00:00Z,SPY,1.0262060498909384,0.007,-1,-1.0
2022-01-10T00:00:00Z,SPY,1.0282584619907202,0.002,0,-1.0
2022-01-11T00:00:00Z,SPY,1.0272302035287295,-0.001,1,0.0
2022-01-12T00:00:00Z,SPY,1.0313391243428445,0.004,1,1.0
2022-01-13T00:00:00Z,SPY,1.034433141715873,0.003,0,1.0
2022-01-14T00:00:00Z,SPY,1.0323642754324411,-0.002,-1,0.0
2022-01-15T00:00:00Z,SPY,1.0385584610850358,0.006,-1,-1.0
2022-01-16T00:00:00Z,SPY,1.043751253390461,0.005,1,-1.0
2022-01-17T00:00:00Z,SPY,1.039576248376899,-0.004,1,1.0
2022-01-18T00:00:00Z,SPY,1.0437345533704068,0.004,0,1.0
2022-01-19T00:00:00Z,SPY,1.046865757030518,0.003,-1,0.0
2022-01-20T00:00:00Z,SPY,1.0458188912734874,-0.001,-1,-1.0
2022-01-21T00:00:00Z,SPY,1.0510479857298547,0.005,1,-1.0
2022-01-22T00:00:00Z,SPY,1.0531500817013144,0.002,1,1.0
2022-01-23T00:00:00Z,SPY,1.0510437815379117,-0.002,0,1.0
2022-01-24T00:00:00Z,SPY,1.0552479566640633,0.004,1,0.0
2022-01-25T00:00:00Z,SPY,1.0584137005340555,0.003,0,1.0
