symbol,ts_utc,regime_label,matched_policy_key,matched_alias,confidence_score,confidence_bucket,confidence_fallback_reason,fallback_policy_applied,policy_reason,signal_scale,allocation_scale,alpha_weight_multiplier,volatility_target,gross_exposure_cap,max_component_weight,rebalance_enabled,optimizer_override,allocation_rule_override,calibration_profile,is_unstable_profile,eligible_for_downstream_decisioning,policy_source,baseline_weight,adaptive_weight,baseline_return,adaptive_return,baseline_equity,adaptive_equity
,2025-01-02T05:00:00Z,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,default,,,,,baseline,policy_source=default;undefined_regime_fallback,1.0,1.0,1.0,0.1,1.0,1.0,True,,,baseline,False,True,default,,,0.0,0.0,1.0,1.0
,2025-01-03T05:00:00Z,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,default,,,,,baseline,policy_source=default;undefined_regime_fallback,1.0,1.0,1.0,0.1,1.0,1.0,True,,,baseline,False,True,default,,,0.0,0.0,1.0,1.0
,2025-01-06T05:00:00Z,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,default,,,,,baseline,policy_source=default;undefined_regime_fallback,1.0,1.0,1.0,0.1,1.0,1.0,True,,,baseline,False,True,default,,,0.0,0.0,1.0,1.0
,2025-01-07T05:00:00Z,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,default,,,,,baseline,policy_source=default;undefined_regime_fallback,1.0,1.0,1.0,0.1,1.0,1.0,True,,,baseline,False,True,default,,,0.0,0.0,1.0,1.0
,2025-01-08T05:00:00Z,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,default,,,,,baseline,policy_source=default;undefined_regime_fallback,1.0,1.0,1.0,0.1,1.0,1.0,True,,,baseline,False,True,default,,,0.0,0.0,1.0,1.0
,2025-01-10T05:00:00Z,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,default,,,,,baseline,policy_source=default;undefined_regime_fallback,1.0,1.0,1.0,0.1,1.0,1.0,True,,,baseline,False,True,default,,,0.0,0.0,1.0,1.0
,2025-01-13T05:00:00Z,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,default,,,,,baseline,policy_source=default;undefined_regime_fallback,1.0,1.0,1.0,0.1,1.0,1.0,True,,,baseline,False,True,default,,,0.0,0.0,1.0,1.0
,2025-01-14T05:00:00Z,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,default,,,,,baseline,policy_source=default;undefined_regime_fallback,1.0,1.0,1.0,0.1,1.0,1.0,True,,,baseline,False,True,default,,,0.0,0.0,1.0,1.0
,2025-01-15T05:00:00Z,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,default,,,,,baseline,policy_source=default;undefined_regime_fallback,1.0,1.0,1.0,0.1,1.0,1.0,True,,,baseline,False,True,default,,,0.0,0.0,1.0,1.0
,2025-01-16T05:00:00Z,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,default,,,,,baseline,policy_source=default;undefined_regime_fallback,1.0,1.0,1.0,0.1,1.0,1.0,True,,,baseline,False,True,default,,,0.0,0.0,1.0,1.0
