regime_label,dimension,surface,observation_count,coverage_status,primary_metric,primary_metric_value,metric_direction,positive_contribution_share,absolute_contribution_share,contribution_sign,metric_rank,is_best_regime,is_worst_regime,evidence_warning,coverage_caveat,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,portfolio,4,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=normal_stress,composite,portfolio,6,sufficient,total_return,0.012181574152990704,desc,0.17592890494216304,0.09942128298343146,positive,4.0,False,False,,,0.012181574152990704,0.6628533072074194,0.003438316815449271,0.05458158733398202,9.349019162376088,0.0011648774124149996,0.5
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,portfolio,6,sufficient,total_return,0.012431307486230558,desc,0.17953560726919007,0.10145950957735153,positive,3.0,False,False,,,0.012431307486230558,0.6801721796270772,0.0030957646227809574,0.04914373985682058,10.590048936249628,0.0018137599574965524,0.8333333333333334
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,portfolio,14,sufficient,total_return,0.013406260045398355,desc,0.19361608110210923,0.10941669417952748,positive,1.0,True,False,,,0.013406260045398355,0.27087983438864094,0.004512366224670356,0.07163159312955104,3.381192654484043,0.010055362139984592,0.5
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,portfolio,3,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,portfolio,8,sufficient,total_return,-0.0038270950842186346,desc,0.0,0.031235265540717073,negative,12.0,False,False,,,-0.0038270950842186346,-0.11377531902496418,0.003245807639640831,0.05152559890825916,-2.321029525531521,0.010234727945082511,0.625
volatility=high_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=dispersion_stress,composite,portfolio,12,sufficient,total_return,0.001490390934213437,desc,0.021524545325492583,0.012163992679878404,positive,9.0,False,False,,,0.001490390934213437,0.03176910801359689,0.0014106632100736463,0.022393584225137604,1.4069616824671618,0.00426251863301319,0.5833333333333334
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=normal_stress,composite,portfolio,12,sufficient,total_return,-0.02382557116266204,desc,0.0,0.19445506985017608,negative,16.0,False,True,,,-0.02382557116266204,-0.39733500458083826,0.005964950140039372,0.09469064792066449,-5.298545159700039,0.026668524897412893,0.3333333333333333
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=normal_stress,composite,portfolio,11,sufficient,total_return,0.0023902450867476777,desc,0.03452043187305674,0.019508253217910602,positive,8.0,False,False,,,0.0023902450867476777,0.056216309822864075,0.004225587004704474,0.06707911414628616,0.8459141752889239,0.009887215860103327,0.5454545454545454
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=normal_stress,composite,portfolio,7,sufficient,total_return,0.0008970475540603928,desc,0.012955353050832522,0.007321354169972962,positive,10.0,False,False,,,0.0008970475540603928,0.03280586172941202,0.0012263626343326638,0.019467903285757624,1.6665251246457586,0.0020631634205675597,0.5714285714285714
volatility=low_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,portfolio,4,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=normal_stress,composite,portfolio,70,sufficient,total_return,0.004200787407471873,desc,0.06066867214447098,0.03428519732722389,positive,6.0,False,False,,,0.004200787407471873,0.015205605968587887,0.001585526017953988,0.0251694452443727,0.6120089328114531,0.01957196234518399,0.5142857142857142
volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=normal_stress,composite,portfolio,4,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,portfolio,5,sufficient,total_return,0.013035023367738319,desc,0.18825460143167908,0.1063868044198033,positive,2.0,False,False,,,0.013035023367738319,0.9207586692406637,0.0018625579441544952,0.029567190736083146,22.116239629513263,0.0,1.0
