event_id,event_order,dimension_event_order,ts_utc,transition_dimension,previous_state,current_state,transition_label,transition_category,transition_direction,is_stress_transition,taxonomy_version
volatility:0001,1,1,2025-02-11T05:00:00Z,volatility,normal_volatility,low_volatility,volatility:normal_volatility->low_volatility,volatility_downshift,down,False,regime_taxonomy_v1
trend:0001,2,1,2025-02-20T05:00:00Z,trend,uptrend,sideways,trend:uptrend->sideways,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0001,3,1,2025-02-26T05:00:00Z,drawdown_recovery,near_peak,underwater,drawdown_recovery:near_peak->underwater,generic_transition,state_change,False,regime_taxonomy_v1
volatility:0002,4,2,2025-03-04T05:00:00Z,volatility,low_volatility,normal_volatility,volatility:low_volatility->normal_volatility,volatility_upshift,up,False,regime_taxonomy_v1
trend:0002,5,2,2025-03-04T05:00:00Z,trend,sideways,downtrend,trend:sideways->downtrend,trend_breakdown,state_change,False,regime_taxonomy_v1
volatility:0003,6,3,2025-03-12T04:00:00Z,volatility,normal_volatility,high_volatility,volatility:normal_volatility->high_volatility,volatility_upshift,up,False,regime_taxonomy_v1
drawdown_recovery:0002,7,2,2025-03-12T04:00:00Z,drawdown_recovery,underwater,recovery,drawdown_recovery:underwater->recovery,recovery_onset,enter,False,regime_taxonomy_v1
stress:0001,8,1,2025-03-17T04:00:00Z,stress,normal_stress,dispersion_stress,stress:normal_stress->dispersion_stress,stress_onset,enter,True,regime_taxonomy_v1
drawdown_recovery:0003,9,3,2025-04-04T04:00:00Z,drawdown_recovery,recovery,drawdown,drawdown_recovery:recovery->drawdown,drawdown_onset,enter,False,regime_taxonomy_v1
stress:0002,10,2,2025-04-04T04:00:00Z,stress,dispersion_stress,normal_stress,stress:dispersion_stress->normal_stress,stress_relief,exit,True,regime_taxonomy_v1
drawdown_recovery:0004,11,4,2025-04-14T04:00:00Z,drawdown_recovery,drawdown,recovery,drawdown_recovery:drawdown->recovery,recovery_onset,enter,False,regime_taxonomy_v1
stress:0003,12,3,2025-04-14T04:00:00Z,stress,normal_stress,correlation_stress,stress:normal_stress->correlation_stress,stress_onset,enter,True,regime_taxonomy_v1
drawdown_recovery:0005,13,5,2025-04-16T04:00:00Z,drawdown_recovery,recovery,drawdown,drawdown_recovery:recovery->drawdown,drawdown_onset,enter,False,regime_taxonomy_v1
drawdown_recovery:0006,14,6,2025-04-23T04:00:00Z,drawdown_recovery,drawdown,recovery,drawdown_recovery:drawdown->recovery,recovery_onset,enter,False,regime_taxonomy_v1
trend:0003,15,3,2025-04-29T04:00:00Z,trend,downtrend,sideways,trend:downtrend->sideways,generic_transition,state_change,False,regime_taxonomy_v1
trend:0004,16,4,2025-05-09T04:00:00Z,trend,sideways,uptrend,trend:sideways->uptrend,generic_transition,state_change,False,regime_taxonomy_v1
stress:0004,17,4,2025-05-09T04:00:00Z,stress,correlation_stress,normal_stress,stress:correlation_stress->normal_stress,stress_relief,exit,True,regime_taxonomy_v1
drawdown_recovery:0007,18,7,2025-05-20T04:00:00Z,drawdown_recovery,recovery,underwater,drawdown_recovery:recovery->underwater,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0008,19,8,2025-06-03T04:00:00Z,drawdown_recovery,underwater,recovery,drawdown_recovery:underwater->recovery,recovery_onset,enter,False,regime_taxonomy_v1
drawdown_recovery:0009,20,9,2025-06-05T04:00:00Z,drawdown_recovery,recovery,underwater,drawdown_recovery:recovery->underwater,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0010,21,10,2025-06-09T04:00:00Z,drawdown_recovery,underwater,recovery,drawdown_recovery:underwater->recovery,recovery_onset,enter,False,regime_taxonomy_v1
volatility:0004,22,4,2025-06-12T04:00:00Z,volatility,high_volatility,normal_volatility,volatility:high_volatility->normal_volatility,volatility_downshift,down,False,regime_taxonomy_v1
drawdown_recovery:0011,23,11,2025-06-12T04:00:00Z,drawdown_recovery,recovery,underwater,drawdown_recovery:recovery->underwater,generic_transition,state_change,False,regime_taxonomy_v1
trend:0005,24,5,2025-06-18T04:00:00Z,trend,uptrend,sideways,trend:uptrend->sideways,generic_transition,state_change,False,regime_taxonomy_v1
trend:0006,25,6,2025-06-23T04:00:00Z,trend,sideways,uptrend,trend:sideways->uptrend,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0012,26,12,2025-06-23T04:00:00Z,drawdown_recovery,underwater,recovery,drawdown_recovery:underwater->recovery,recovery_onset,enter,False,regime_taxonomy_v1
volatility:0005,27,5,2025-06-26T04:00:00Z,volatility,normal_volatility,low_volatility,volatility:normal_volatility->low_volatility,volatility_downshift,down,False,regime_taxonomy_v1
