regime_label,dimension,observation_count,coverage_status,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,4,sparse,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=normal_stress,composite,5,sufficient,-0.07377887551507267,-0.9789902946006287,0.01587089096960588,0.25194258354358756,-15.112195577228647,0.05615798566593344,0.0
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,7,sufficient,0.031307946709894896,2.0337592349826132,0.004888441613548594,0.07760160484865337,14.365942845608968,0.003228616567209297,0.7142857142857143
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,7,sufficient,0.11403850481207312,47.79858874868374,0.033160815139931604,0.5264116207946674,7.656304880852998,0.0014638755246355606,0.7142857142857143
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,5,sufficient,0.008015807017252907,0.49538858326360447,0.004276190829587283,0.0678824249624576,5.959522443957433,0.003918527599700128,0.6
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,3,sparse,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,4,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=drawdown|stress=normal_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=dispersion_stress,composite,9,sufficient,0.0018995118874294281,0.054572933590194994,0.0037863650937853613,0.06010668246631093,0.9108594402001506,0.008125877679501015,0.6666666666666666
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,2,sparse,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=normal_stress,composite,12,sufficient,-0.03380344391508927,-0.5142920766254917,0.005544784157540953,0.08802071972630489,-8.151822186928474,0.03086071425859338,0.3333333333333333
