regime_label,dimension,surface,observation_count,coverage_status,primary_metric,primary_metric_value,metric_direction,positive_contribution_share,absolute_contribution_share,contribution_sign,metric_rank,is_best_regime,is_worst_regime,evidence_warning,coverage_caveat,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,strategy,4,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=normal_stress,composite,strategy,5,sufficient,total_return,-0.07377887551507267,desc,0.0,0.2103345659870447,negative,16.0,False,True,,,-0.07377887551507267,-0.9789902946006287,0.01587089096960588,0.25194258354358756,-15.112195577228647,0.05615798566593344,0.0
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,7,sufficient,total_return,0.031307946709894896,desc,0.1398809174638458,0.0892551334944913,positive,2.0,False,False,,,0.031307946709894896,2.0337592349826132,0.004888441613548594,0.07760160484865337,14.365942845608968,0.003228616567209297,0.7142857142857143
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,strategy,7,sufficient,total_return,0.11403850481207312,desc,0.5095131541883071,0.3251098535726345,positive,1.0,True,False,,,0.11403850481207312,47.79858874868374,0.033160815139931604,0.5264116207946674,7.656304880852998,0.0014638755246355606,0.7142857142857143
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,5,sufficient,total_return,0.008015807017252907,desc,0.03581386062063583,0.022852087108122913,positive,6.0,False,False,,,0.008015807017252907,0.49538858326360447,0.004276190829587283,0.0678824249624576,5.959522443957433,0.003918527599700128,0.6
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,3,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,4,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=drawdown|stress=normal_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=dispersion_stress,composite,strategy,9,sufficient,total_return,0.0018995118874294281,desc,0.008486837799015845,0.005415276468236198,positive,10.0,False,False,,,0.0018995118874294281,0.054572933590194994,0.0037863650937853613,0.06010668246631093,0.9108594402001506,0.008125877679501015,0.6666666666666666
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,12,sufficient,total_return,-0.03380344391508927,desc,0.0,0.09636949133624519,negative,15.0,False,False,,,-0.03380344391508927,-0.5142920766254917,0.005544784157540953,0.08802071972630489,-8.151822186928474,0.03086071425859338,0.3333333333333333
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,10,sufficient,total_return,0.01289201896064851,desc,0.05760031013489812,0.036753571992714645,positive,5.0,False,False,,,0.01289201896064851,0.3809926220826887,0.0034657534738368775,0.055017130783383474,5.895737360012246,0.002005080534652759,0.7
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=normal_stress,composite,strategy,5,sufficient,total_return,0.005095170640346147,desc,0.022764736071983125,0.014525709395614171,positive,7.0,False,False,,,0.005095170640346147,0.29193953247964166,0.0039100962187577325,0.06207085318300182,4.153578193005442,0.006147768193323078,0.6
volatility=low_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,6,sufficient,total_return,0.001959093967935921,desc,0.008753044847433328,0.005585137705025827,positive,9.0,False,False,,,0.001959093967935921,0.08567449989674203,0.0030719867683238256,0.04876627811919502,1.706223729231484,0.004085570943377803,0.6666666666666666
volatility=low_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=normal_stress,composite,strategy,59,sufficient,total_return,-0.011543463507597829,desc,0.0,0.03290900504930915,negative,14.0,False,False,,,-0.011543463507597829,-0.04838150495949345,0.0022252447625712908,0.03532466548807564,-1.3863552101250378,0.018648052264137904,0.4745762711864407
volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,3,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,3,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,5,sufficient,total_return,0.024015938802844916,desc,0.10730092217883423,0.06846650927657251,positive,3.0,False,False,,,0.024015938802844916,2.3071851619979777,0.0020182973422142926,0.03203947703568986,37.43348381926447,0.0,1.0
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,4,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=near_peak|stress=normal_stress,composite,strategy,7,sufficient,total_return,0.000618472875426157,desc,0.002763277772341784,0.0017631906547687123,positive,11.0,False,False,,,0.000618472875426157,0.02250770176639305,0.0011117382647917592,0.01764829782980082,1.268823465257808,0.0021881124580926947,0.42857142857142855
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,14,sufficient,total_return,0.0030211922543830205,desc,0.013498398610861193,0.008613050241721995,positive,8.0,False,False,,,0.0030211922543830205,0.05580074310526695,0.0028970724013270897,0.04598959862436114,1.202148719125506,0.010384411383074776,0.42857142857142855
