regime_label,dimension,observation_count,coverage_status,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,4,sparse,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=normal_stress,composite,5,sufficient,0.08345979366503453,55.82835717162056,0.02023596513252688,0.32123598768024203,12.804213688403886,0.011454971315563278,0.8
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,7,sufficient,0.02775243952133133,1.679085583296779,0.005772167944796533,0.09163032544578258,10.815072426459945,0.0022099045452012023,0.7142857142857143
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,7,sufficient,-0.06436579733115655,-0.9088368725720686,0.036846900673513885,0.5849264145936967,-3.810430015371814,0.09141679432284622,0.7142857142857143
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,5,sufficient,4.268577249733063e-05,0.0021536327616700213,0.0040887054061367065,0.06490618613305843,0.059128924416641755,0.00566802433507041,0.6
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,3,sparse,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,4,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=drawdown|stress=normal_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=dispersion_stress,composite,9,sufficient,0.00430170683910247,0.12771049471277207,0.003933148377637485,0.06243679486047566,1.9531972574424343,0.007329995127088318,0.4444444444444444
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,2,sparse,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=normal_stress,composite,12,sufficient,-0.048794010340239,-0.6502432514129244,0.008648291128606165,0.13728736555186818,-7.572436291400233,0.04634447758960303,0.3333333333333333
