regime_label,dimension,surface,observation_count,coverage_status,primary_metric,primary_metric_value,metric_direction,positive_contribution_share,absolute_contribution_share,contribution_sign,metric_rank,is_best_regime,is_worst_regime,evidence_warning,coverage_caveat,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,strategy,4,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=normal_stress,composite,strategy,5,sufficient,total_return,0.08345979366503453,desc,0.5010737769268988,0.24316156009721906,positive,1.0,True,False,,,0.08345979366503453,55.82835717162056,0.02023596513252688,0.32123598768024203,12.804213688403886,0.011454971315563278,0.8
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,7,sufficient,total_return,0.02775243952133133,desc,0.16661938736274098,0.08085721512318877,positive,2.0,False,False,,,0.02775243952133133,1.679085583296779,0.005772167944796533,0.09163032544578258,10.815072426459945,0.0022099045452012023,0.7142857142857143
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,strategy,7,sufficient,total_return,-0.06436579733115655,desc,0.0,0.18753086975941746,negative,16.0,False,True,,,-0.06436579733115655,-0.9088368725720686,0.036846900673513885,0.5849264145936967,-3.810430015371814,0.09141679432284622,0.7142857142857143
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,5,sufficient,total_return,4.268577249733063e-05,desc,0.0002562757503585898,0.0001243657404194421,positive,9.0,False,False,,,4.268577249733063e-05,0.0021536327616700213,0.0040887054061367065,0.06490618613305843,0.059128924416641755,0.00566802433507041,0.6
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,3,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,4,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=drawdown|stress=normal_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=dispersion_stress,composite,strategy,9,sufficient,total_return,0.00430170683910247,desc,0.025826477618101053,0.012533097676651209,positive,6.0,False,False,,,0.00430170683910247,0.12771049471277207,0.003933148377637485,0.06243679486047566,1.9531972574424343,0.007329995127088318,0.4444444444444444
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,12,sufficient,total_return,-0.048794010340239,desc,0.0,0.14216219758883877,negative,15.0,False,False,,,-0.048794010340239,-0.6502432514129244,0.008648291128606165,0.13728736555186818,-7.572436291400233,0.04634447758960303,0.3333333333333333
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,10,sufficient,total_return,0.012814040305335617,desc,0.076932607804637,0.03733392924861079,positive,4.0,False,False,,,0.012814040305335617,0.3783159203202269,0.003930543691091494,0.06239544674341185,5.173670680710001,0.004033310341079233,0.4
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=normal_stress,composite,strategy,5,sufficient,total_return,-0.001755777474623188,desc,0.0,0.005115488202935677,negative,10.0,False,False,,,-0.001755777474623188,-0.08476000747709755,0.0015376251671292778,0.02440904281114918,-3.61812236085992,0.0037519485207248016,0.4
volatility=low_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,6,sufficient,total_return,0.007316158240230797,desc,0.043924563925241786,0.021315754251115055,positive,5.0,False,False,,,0.007316158240230797,0.3581996677407926,0.002820568060071529,0.04477512985728695,6.860515350361478,0.0029405973849452316,0.6666666666666666
volatility=low_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=normal_stress,composite,strategy,59,sufficient,total_return,-0.005768868900693391,desc,0.0,0.016807699855081515,negative,11.0,False,False,,,-0.005768868900693391,-0.024408437665069282,0.003424167576711482,0.054356975132335596,-0.4278812678723605,0.05327494273234579,0.5254237288135594
volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,3,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,3,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,5,sufficient,total_return,-0.023793546335551086,desc,0.0,0.06932291098656262,negative,14.0,False,False,,,-0.023793546335551086,-0.702901546262227,0.005535451826225171,0.08787257355942077,-13.743500613857476,0.018701769593028383,0.2
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,4,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=near_peak|stress=normal_stress,composite,strategy,7,sufficient,total_return,0.00341243258710322,desc,0.02048747558364254,0.009942181680162018,positive,7.0,False,False,,,0.00341243258710322,0.1304756170654957,0.0034701450134536505,0.05508684431357549,2.250429332065157,0.003936237220094507,0.7142857142857143
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,14,sufficient,total_return,-0.016071292954449312,desc,0.0,0.04682399148106883,negative,12.0,False,False,,,-0.016071292954449312,-0.25295739554150964,0.005300467958298252,0.08414232029954073,-3.424609341234412,0.02559631399098805,0.5
