run_id,surface,dimension,regime_label,primary_metric,primary_metric_value,metric_direction,coverage_status,observation_count,rank_within_regime,warning_flag
mean_reversion_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,total_return,,desc,sparse,4,1,sparse_evidence
momentum_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,total_return,,desc,sparse,4,2,sparse_evidence
mean_reversion_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=dispersion_stress,total_return,,desc,sparse,1,1,sparse_evidence
momentum_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=dispersion_stress,total_return,,desc,sparse,1,2,sparse_evidence
momentum_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=normal_stress,total_return,0.08345979366503453,desc,sufficient,5,1,
mean_reversion_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=normal_stress,total_return,-0.07377887551507267,desc,sufficient,5,2,
mean_reversion_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,total_return,0.031307946709894896,desc,sufficient,7,1,
momentum_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,total_return,0.02775243952133133,desc,sufficient,7,2,
mean_reversion_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,total_return,0.11403850481207312,desc,sufficient,7,1,
momentum_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,total_return,-0.06436579733115655,desc,sufficient,7,2,
mean_reversion_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,total_return,0.008015807017252907,desc,sufficient,5,1,
momentum_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,total_return,4.268577249733063e-05,desc,sufficient,5,2,
mean_reversion_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,total_return,,desc,sparse,3,1,sparse_evidence
momentum_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,total_return,,desc,sparse,3,2,sparse_evidence
mean_reversion_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,total_return,,desc,sparse,1,1,sparse_evidence
momentum_v1,strategy,composite,volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,total_return,,desc,sparse,1,2,sparse_evidence
