run_id,surface,dimension,regime_label,primary_metric,primary_metric_value,metric_direction,coverage_status,observation_count,rank_within_regime,warning_flag
ml_cross_sectional_lgbm_2026_q1,alpha,composite,volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,mean_ic,,desc,sparse,1,1,sparse_evidence
ml_cross_sectional_xgb_2026_q1,alpha,composite,volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,mean_ic,,desc,sparse,1,2,sparse_evidence
rank_composite_momentum_2026_q1,alpha,composite,volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,mean_ic,,desc,sparse,1,3,sparse_evidence
ml_cross_sectional_xgb_2026_q1,alpha,composite,volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,mean_ic,0.3045042306277388,desc,sufficient,5,1,
ml_cross_sectional_lgbm_2026_q1,alpha,composite,volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,mean_ic,0.2074035648961065,desc,sufficient,5,2,
rank_composite_momentum_2026_q1,alpha,composite,volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,mean_ic,0.004110376322864238,desc,sufficient,5,3,
ml_cross_sectional_lgbm_2026_q1,alpha,composite,volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,mean_ic,0.18100386004270075,desc,sufficient,5,1,
ml_cross_sectional_xgb_2026_q1,alpha,composite,volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,mean_ic,0.15913857407364967,desc,sufficient,5,2,
rank_composite_momentum_2026_q1,alpha,composite,volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,mean_ic,-0.07126819733379222,desc,sufficient,5,3,
ml_cross_sectional_lgbm_2026_q1,alpha,composite,volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,mean_ic,,desc,sparse,2,1,sparse_evidence
ml_cross_sectional_xgb_2026_q1,alpha,composite,volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,mean_ic,,desc,sparse,2,2,sparse_evidence
rank_composite_momentum_2026_q1,alpha,composite,volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,mean_ic,,desc,sparse,2,3,sparse_evidence
ml_cross_sectional_lgbm_2026_q1,alpha,composite,volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,mean_ic,,desc,sparse,1,1,sparse_evidence
ml_cross_sectional_xgb_2026_q1,alpha,composite,volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,mean_ic,,desc,sparse,1,2,sparse_evidence
rank_composite_momentum_2026_q1,alpha,composite,volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,mean_ic,,desc,sparse,1,3,sparse_evidence
ml_cross_sectional_lgbm_2026_q1,alpha,composite,volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,mean_ic,,desc,sparse,2,1,sparse_evidence
ml_cross_sectional_xgb_2026_q1,alpha,composite,volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,mean_ic,,desc,sparse,2,2,sparse_evidence
rank_composite_momentum_2026_q1,alpha,composite,volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,mean_ic,,desc,sparse,2,3,sparse_evidence
ml_cross_sectional_lgbm_2026_q1,alpha,composite,volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,mean_ic,,desc,sparse,1,1,sparse_evidence
ml_cross_sectional_xgb_2026_q1,alpha,composite,volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,mean_ic,,desc,sparse,1,2,sparse_evidence
rank_composite_momentum_2026_q1,alpha,composite,volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,mean_ic,,desc,sparse,1,3,sparse_evidence
ml_cross_sectional_lgbm_2026_q1,alpha,composite,volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,mean_ic,,desc,sparse,2,1,sparse_evidence
ml_cross_sectional_xgb_2026_q1,alpha,composite,volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,mean_ic,,desc,sparse,2,2,sparse_evidence
rank_composite_momentum_2026_q1,alpha,composite,volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,mean_ic,,desc,sparse,2,3,sparse_evidence
