ts_utc,volatility_state,trend_state,drawdown_recovery_state,stress_state,regime_label,is_defined,volatility_metric,trend_metric,drawdown_metric,stress_correlation_metric,stress_dispersion_metric
2026-01-02T05:00:00Z,undefined,undefined,undefined,undefined,volatility=undefined|trend=undefined|drawdown_recovery=undefined|stress=undefined,False,,,,,
2026-01-05T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0,,
2026-01-06T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0,,
2026-01-07T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.008539987610614919,,
2026-01-08T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.00624609819076638,,
2026-01-09T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.002499441462239238,,
2026-01-12T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0003992430545995962,,
2026-01-13T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0,,
2026-01-14T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.007775057556400622,,
2026-01-15T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.001615883184221123,,
2026-01-16T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0007303737907782271,,
2026-01-20T05:00:00Z,undefined,undefined,underwater,undefined,volatility=undefined|trend=undefined|drawdown_recovery=underwater|stress=undefined,False,,,0.02172933725249948,,
2026-01-21T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.007983404959340135,,
2026-01-22T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0020134875786688156,,
2026-01-23T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0022586035635510093,,
2026-01-26T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0,,
2026-01-27T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0,,
2026-01-28T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0030930361092640357,,
2026-01-29T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.001999929198596706,,
2026-01-30T05:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.006162863135851904,,
2026-02-02T05:00:00Z,low_volatility,uptrend,near_peak,normal_stress,volatility=low_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=normal_stress,True,0.00788884561288525,0.025247025883447183,0.0,0.0875003652747086,0.01901735279298154
2026-02-03T05:00:00Z,low_volatility,sideways,near_peak,normal_stress,volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=normal_stress,True,0.007882823777492495,0.012832227466132773,0.005051586748235248,0.08620791571625912,0.01918125780536934
2026-02-04T05:00:00Z,low_volatility,sideways,underwater,normal_stress,volatility=low_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,True,0.008639124094995896,-0.004884976894463988,0.020282091904826327,0.07787374038152445,0.021035119976013178
