regime_label,dimension,observation_count,coverage_status,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=normal_stress,composite,2,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,1,sparse,,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,5,sufficient,-0.003646818401148222,-0.16817700436241678,0.001953222068904793,0.03100643909763089,-5.924040479459932,0.005736875848479817,0.4
volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,5,sufficient,0.015174656275256826,1.13626272272171,0.004294442312104408,0.06817215826524894,11.178457730327425,0.0,0.8
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,2,sparse,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,4,sufficient,0.010640934862184315,0.948066357818877,0.00438303248107722,0.06957848359949244,9.622684420772254,0.0025562576065163434,0.75
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,2,sparse,,,,,,,
recovery,drawdown_recovery,11,sufficient,-0.012881197268765243,-0.25696609157742767,0.0021437263672986237,0.0340306010810644,-8.707189636898178,0.01339359073798807,0.2727272727272727
underwater,drawdown_recovery,13,sufficient,0.03482141107954728,0.9416018490810993,0.0033750866955519184,0.05357784029827887,12.425103926461638,0.0037558776168112873,0.8461538461538461
dispersion_stress,stress,3,sufficient,-0.00022405129897329346,-0.018646382281917395,0.0016286553582253083,0.02585410229578188,-0.7193779175226835,0.0017381082148808513,0.3333333333333333
normal_stress,stress,21,sufficient,0.021720590170904552,0.294153367646913,0.0036123513218072386,0.05734429947418445,4.52621880815499,0.008573468026760622,0.6190476190476191
downtrend,trend,17,sufficient,0.021699444868635176,0.37468153157019946,0.003550925656303654,0.05636919726394971,5.675358891552456,0.004192243140712426,0.5882352941176471
sideways,trend,7,sufficient,-0.00020335972989848905,-0.007294956459739543,0.0031473072983515806,0.0499619544656211,-0.1250924724951448,0.006032631380096798,0.5714285714285714
high_volatility,volatility,4,sufficient,-0.0017677498927511914,-0.10547890652028014,0.004087010186247142,0.06487927535158627,-1.693311850136978,0.006032631380096798,0.5
low_volatility,volatility,10,sufficient,0.011472498658372743,0.33303880569293964,0.0037154452194413804,0.05898086436315419,4.903083359832196,0.0037558776168113983,0.6
normal_volatility,volatility,10,sufficient,0.011693954358354075,0.34041321234924715,0.0031031593175607597,0.04926112699727208,5.973017242655989,0.0025562576065164544,0.6
