regime_label,dimension,surface,observation_count,coverage_status,primary_metric,primary_metric_value,metric_direction,positive_contribution_share,absolute_contribution_share,contribution_sign,metric_rank,is_best_regime,is_worst_regime,evidence_warning,coverage_caveat,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,portfolio,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=normal_stress,composite,portfolio,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,portfolio,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,portfolio,5,sufficient,total_return,-0.003646818401148222,desc,0.0,0.12377868810667644,negative,3.0,False,True,,,-0.003646818401148222,-0.16817700436241678,0.001953222068904793,0.03100643909763089,-5.924040479459932,0.005736875848479817,0.4
volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,portfolio,5,sufficient,total_return,0.015174656275256826,desc,0.5878097539764858,0.5150514337729682,positive,1.0,True,False,,,0.015174656275256826,1.13626272272171,0.004294442312104408,0.06817215826524894,11.178457730327425,0.0,0.8
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,portfolio,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,portfolio,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,portfolio,4,sufficient,total_return,0.010640934862184315,desc,0.4121902460235141,0.36116987812035534,positive,2.0,False,False,,,0.010640934862184315,0.948066357818877,0.00438303248107722,0.06957848359949244,9.622684420772254,0.0025562576065163434,0.75
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,portfolio,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,portfolio,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
