regime_label,dimension,observation_count,coverage_status,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=sideways|drawdown_recovery=near_peak|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,2,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=normal_stress,composite,4,sufficient,0.009944287812721608,0.8652510051828137,0.0045794337793242275,0.07269625755348329,8.613078809078802,0.00034550311665171307,0.5
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=dispersion_stress,composite,2,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,4,sufficient,-0.0033326061805848406,-0.18966279534998454,0.0011482350555296523,0.018227666421467406,-11.526011603871162,0.0031523219601837793,0.0
volatility=high_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,5,sufficient,0.0026312055509549737,0.14160891856443092,0.0006015183349110773,0.009548807539322234,13.87711060543294,0.0002066904095650024,0.8
volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,5,sufficient,-0.000416884187219968,-0.02079606027732339,0.00015930580356594942,0.002528901231868853,-8.3087110342411,0.0006164273876113624,0.2
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=normal_stress,composite,1,sparse,,,,,,,
volatility=low_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,2,sparse,,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=normal_stress,composite,1,sparse,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,2,sparse,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,5,sufficient,-0.0019978634202506562,-0.09587986552341365,0.0015429712752428404,0.02449390964645249,-4.10439624636088,0.003605052844537493,0.6
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,2,sparse,,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=normal_stress,composite,1,sparse,,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,4,sufficient,-0.0012442361675895075,-0.07543847875224052,0.0008138747810194274,0.012919861613547341,-6.065147110997719,0.0018610378030678998,0.25
near_peak,drawdown_recovery,4,sufficient,0.0016603088683171396,0.1101695162359766,0.0020868685109812477,0.03312801059368828,3.1678925098426656,0.0023250596975269433,0.75
recovery,drawdown_recovery,16,sufficient,0.01694224671185962,0.3029164294680722,0.0022959479454695794,0.03644704372117316,7.280791200156206,0.0006899993335224286,0.75
underwater,drawdown_recovery,23,sufficient,-0.005901458182510089,-0.06279290445959673,0.0011040041910628522,0.017525523215552063,-3.6915136937472672,0.00898029279832957,0.30434782608695654
dispersion_stress,stress,9,sufficient,0.006561189770434517,0.2009504055492164,0.0008119323284531046,0.012889026135003165,14.217794056717516,0.0,0.7777777777777778
normal_stress,stress,34,sufficient,0.006018599607420239,0.04547856776862269,0.001967820257492992,0.031238178157209265,1.438957505706663,0.004742035595782901,0.4411764705882353
downtrend,trend,18,sufficient,0.002805061314284929,0.03999497623687498,0.0010105579033910087,0.01604210938682067,2.4523272954682933,0.0023027500380199406,0.6111111111111112
sideways,trend,23,sufficient,0.008387949850525489,0.09583810031224482,0.0023007131975833436,0.03652268975333843,2.5236743501324828,0.0030868087286415324,0.391304347826087
uptrend,trend,2,sparse,,,,,,,
high_volatility,volatility,14,sufficient,0.011365558044023949,0.2255947006722594,0.002687334097107218,0.042660106264140005,4.790171139349482,0.0030868087286416435,0.42857142857142855
low_volatility,volatility,14,sufficient,0.0008645680635641639,0.015677118318655037,0.0011450544148062147,0.018177175315283043,0.864237066840371,0.0023250596975269433,0.5
normal_volatility,volatility,15,sufficient,0.00037473935407450476,0.0063142934633528824,0.0011558325857189264,0.018348273474222153,0.351623510435311,0.003448796879792493,0.6
