regime_label,dimension,surface,observation_count,coverage_status,primary_metric,primary_metric_value,metric_direction,positive_contribution_share,absolute_contribution_share,contribution_sign,metric_rank,is_best_regime,is_worst_regime,evidence_warning,coverage_caveat,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=sideways|drawdown_recovery=near_peak|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,4,sufficient,total_return,0.009944287812721608,desc,0.7907672108869284,0.5082151310155716,positive,1.0,True,False,,,0.009944287812721608,0.8652510051828137,0.0045794337793242275,0.07269625755348329,8.613078809078802,0.00034550311665171307,0.5
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,4,sufficient,total_return,-0.0033326061805848406,desc,0.0,0.17031696171570201,negative,6.0,False,True,,,-0.0033326061805848406,-0.18966279534998454,0.0011482350555296523,0.018227666421467406,-11.526011603871162,0.0031523219601837793,0.0
volatility=high_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,5,sufficient,total_return,0.0026312055509549737,desc,0.2092327891130716,0.13447101481684726,positive,2.0,False,False,,,0.0026312055509549737,0.14160891856443092,0.0006015183349110773,0.009548807539322234,13.87711060543294,0.0002066904095650024,0.8
volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,5,sufficient,total_return,-0.000416884187219968,desc,0.0,0.021305382126538753,negative,3.0,False,False,,,-0.000416884187219968,-0.02079606027732339,0.00015930580356594942,0.002528901231868853,-8.3087110342411,0.0006164273876113624,0.2
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=normal_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=low_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=normal_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,5,sufficient,total_return,-0.0019978634202506562,desc,0.0,0.1021032817025858,negative,5.0,False,False,,,-0.0019978634202506562,-0.09587986552341365,0.0015429712752428404,0.02449390964645249,-4.10439624636088,0.003605052844537493,0.6
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,strategy,2,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=normal_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,strategy,4,sufficient,total_return,-0.0012442361675895075,desc,0.0,0.06358822862275462,negative,4.0,False,False,,,-0.0012442361675895075,-0.07543847875224052,0.0008138747810194274,0.012919861613547341,-6.065147110997719,0.0018610378030678998,0.25
