regime_label,dimension,observation_count,coverage_status,mean_ic,mean_rank_ic,ic_std,rank_ic_std,ic_ir,rank_ic_ir
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,2,sufficient,0.04,0.05,0.0,0.0,,
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,2,sufficient,-0.03,-0.02,0.0,0.0,,
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=correlation_stress,composite,2,sufficient,0.025,0.035,0.007071067811865474,0.007071067811865477,3.5355339059327386,4.949747468305832
volatility=low_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,2,sufficient,0.04,0.05,0.0282842712474619,0.02828427124746191,1.4142135623730951,1.7677669529663684
volatility=normal_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,2,sufficient,-0.015,-0.005,0.007071067811865475,0.007071067811865475,-2.1213203435596424,-0.7071067811865476
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,1,sparse,,,,,,
drawdown,drawdown_recovery,4,sufficient,-0.0225,-0.0125,0.00957427107756338,0.009574271077563382,-2.350048355401921,-1.3055824196677337
near_peak,drawdown_recovery,3,sufficient,0.03666666666666667,0.04666666666666667,0.020816659994661327,0.02081665999466133,1.7614096918559585,2.24179415327122
recovery,drawdown_recovery,9,sufficient,0.03333333333333333,0.043333333333333335,0.02,0.02,1.6666666666666665,2.1666666666666665
underwater,drawdown_recovery,6,sufficient,-0.011666666666666667,-0.0016666666666666668,0.0075277265270908104,0.0075277265270908104,-1.5498260496951668,-0.22140372138502382
correlation_stress,stress,19,sufficient,0.01105263157894737,0.021052631578947368,0.0303488489333442,0.030348848933344205,0.3641861872001304,0.6936879756192958
dispersion_stress,stress,3,sufficient,0.013333333333333334,0.02333333333333333,0.03214550253664318,0.03214550253664318,0.41478067789217016,0.7258661863112976
downtrend,trend,6,sufficient,-0.013333333333333334,-0.0033333333333333327,0.02250925735484551,0.022509257354845512,-0.5923488777590924,-0.14808721943977304
sideways,trend,7,sufficient,0.014285714285714287,0.02428571428571429,0.02439750182371333,0.024397501823713332,0.5855400437691199,0.9954180744075039
uptrend,trend,9,sufficient,0.025555555555555554,0.035555555555555556,0.029627314724385297,0.029627314724385297,0.8625673907099516,1.2000937609877589
high_volatility,volatility,7,sufficient,0.015714285714285715,0.025714285714285714,0.03101458950082625,0.03101458950082625,0.5066739868946863,0.8291028876458503
low_volatility,volatility,7,sufficient,0.01,0.02,0.032659863237109045,0.032659863237109045,0.30618621784789724,0.6123724356957945
normal_volatility,volatility,8,sufficient,0.00875,0.018750000000000003,0.029970223317724642,0.029970223317724642,0.2919564498148126,0.6256209638888842
