regime_label,dimension,observation_count,coverage_status,mean_ic,mean_rank_ic,ic_std,rank_ic_std,ic_ir,rank_ic_ir
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,2,sufficient,0.015,0.022,0.007071067811865475,0.00565685424949238,2.1213203435596424,3.8890872965260113
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,2,sufficient,0.037500000000000006,0.0475,0.003535533905932736,0.0035355339059327407,10.60660171779822,13.43502884254439
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=correlation_stress,composite,2,sufficient,0.0175,0.025,0.0035355339059327385,0.004242640687119287,4.949747468305832,5.8925565098878945
volatility=low_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,2,sufficient,0.015,0.0225,0.0,0.002121320343559642,,10.606601717798215
volatility=normal_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,2,sufficient,0.0225,0.0325,0.0035355339059327385,0.0035355339059327407,6.363961030678926,9.19238815542511
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,1,sparse,,,,,,
drawdown,drawdown_recovery,4,sufficient,0.03,0.04,0.009128709291752768,0.009128709291752768,3.2863353450309964,4.3817804600413295
near_peak,drawdown_recovery,3,sufficient,0.017666666666666667,0.02466666666666667,0.0025166114784235835,0.003055050463303894,7.020021492444732,8.074061938731717
recovery,drawdown_recovery,9,sufficient,0.018666666666666665,0.025888888888888892,0.006763874629234341,0.006863753427324666,2.7597594115637385,3.7718267654873765
underwater,drawdown_recovery,6,sufficient,0.025333333333333336,0.034499999999999996,0.008286535263104036,0.009628083921528727,3.0571683494946926,3.5832674788860954
correlation_stress,stress,19,sufficient,0.02210526315789474,0.03042105263157895,0.008824805549271675,0.009990638893337903,2.5049008767925907,3.044955678646812
dispersion_stress,stress,3,sufficient,0.024333333333333335,0.032,0.00404145188432738,0.0052915026221291815,6.020938521548955,6.047431568147635
downtrend,trend,6,sufficient,0.027999999999999997,0.037333333333333336,0.008602325267042629,0.009626352718795769,3.2549338848269387,3.8782428219608844
sideways,trend,7,sufficient,0.02114285714285714,0.029285714285714283,0.008214389233302163,0.008994707438530833,2.5738806066239652,3.2558829162427676
uptrend,trend,9,sufficient,0.019666666666666666,0.02722222222222222,0.0071239034243875034,0.008089774066341066,2.7606587982848123,3.36501637734051
high_volatility,volatility,7,sufficient,0.02214285714285714,0.030428571428571423,0.009668308563352252,0.010952277432222988,2.2902513917263354,2.778287129492055
low_volatility,volatility,7,sufficient,0.023999999999999997,0.032285714285714286,0.010424330514074593,0.011614850920470822,2.302306125807885,2.7796925252662255
normal_volatility,volatility,8,sufficient,0.021249999999999998,0.029375,0.005418223219575109,0.006523309852258395,3.921949897381009,4.503082126296708
