regime_label,dimension,surface,observation_count,coverage_status,primary_metric,primary_metric_value,metric_direction,positive_contribution_share,absolute_contribution_share,contribution_sign,metric_rank,is_best_regime,is_worst_regime,evidence_warning,coverage_caveat,mean_ic,mean_rank_ic,ic_std,rank_ic_std,ic_ir,rank_ic_ir
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=correlation_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,alpha,2,sufficient,mean_ic,0.015,desc,0.1395348837209302,0.1395348837209302,positive,4.0,False,False,,,0.015,0.022,0.007071067811865475,0.00565685424949238,2.1213203435596424,3.8890872965260113
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,alpha,2,sufficient,mean_ic,0.037500000000000006,desc,0.3488372093023256,0.3488372093023256,positive,1.0,True,False,,,0.037500000000000006,0.0475,0.003535533905932736,0.0035355339059327407,10.60660171779822,13.43502884254439
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=correlation_stress,composite,alpha,2,sufficient,mean_ic,0.0175,desc,0.1627906976744186,0.1627906976744186,positive,3.0,False,False,,,0.0175,0.025,0.0035355339059327385,0.004242640687119287,4.949747468305832,5.8925565098878945
volatility=low_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,alpha,2,sufficient,mean_ic,0.015,desc,0.1395348837209302,0.1395348837209302,positive,5.0,False,True,,,0.015,0.0225,0.0,0.002121320343559642,,10.606601717798215
volatility=normal_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,alpha,2,sufficient,mean_ic,0.0225,desc,0.2093023255813953,0.2093023255813953,positive,2.0,False,False,,,0.0225,0.0325,0.0035355339059327385,0.0035355339059327407,6.363961030678926,9.19238815542511
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=correlation_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
