ts_utc,volatility_state,trend_state,drawdown_recovery_state,stress_state,regime_label,is_defined,volatility_metric,trend_metric,drawdown_metric,stress_correlation_metric,stress_dispersion_metric
2025-01-01T00:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0,,
2025-01-02T00:00:00Z,undefined,undefined,near_peak,undefined,volatility=undefined|trend=undefined|drawdown_recovery=near_peak|stress=undefined,False,,,0.0,,
2025-01-03T00:00:00Z,low_volatility,sideways,near_peak,correlation_stress,volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=correlation_stress,True,0.00041943524640393064,0.007351097499999737,0.0,0.9106836025229591,0.0005879208719419912
2025-01-04T00:00:00Z,low_volatility,sideways,near_peak,correlation_stress,volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=correlation_stress,True,0.0009765775461803858,0.006345757083333181,0.0,0.9804835622627673,0.0005879208719419912
2025-01-05T00:00:00Z,normal_volatility,sideways,underwater,correlation_stress,volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,True,0.007399324293474372,-0.007536027500000264,0.01100000000000001,0.9999489043853638,0.0006666666666666666
2025-01-06T00:00:00Z,high_volatility,downtrend,underwater,correlation_stress,volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=correlation_stress,True,0.008736894948054104,-0.02585082400000016,0.02682399999999996,0.9997129117788356,0.0008333333333333336
2025-01-07T00:00:00Z,low_volatility,downtrend,drawdown,correlation_stress,volatility=low_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,True,0.004509249752822891,-0.04628752000000014,0.046287519999999915,0.9948501998637646,0.0010000000000000007
2025-01-08T00:00:00Z,normal_volatility,downtrend,drawdown,correlation_stress,volatility=normal_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,True,0.0050332229568471635,-0.04532320000000001,0.055824644799999934,0.9871628357871961,0.0010000000000000007
2025-01-09T00:00:00Z,normal_volatility,downtrend,drawdown,correlation_stress,volatility=normal_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,True,0.007637626158259732,-0.0346510000000001,0.060545521575999905,0.9899947859603571,0.0010000000000000002
2025-01-10T00:00:00Z,high_volatility,sideways,recovery,correlation_stress,volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,True,0.00929157324317757,-0.007069600000000009,0.0530298857486079,0.9856688571933638,0.0009999999999999998
2025-01-11T00:00:00Z,high_volatility,uptrend,recovery,correlation_stress,volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,True,0.008144527815247077,0.012989600000000046,0.04356018460609401,0.9996826286849241,0.0009999999999999998
2025-01-12T00:00:00Z,low_volatility,uptrend,recovery,correlation_stress,volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,True,0.0020000000000000026,0.03029696000000004,0.03208290682136705,1.0,0.0009999999999999998
2025-01-13T00:00:00Z,normal_volatility,uptrend,recovery,correlation_stress,volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,True,0.005480605535617121,0.023823533333333202,0.030469711666069266,0.9871530953023835,0.0029356197618513485
2025-01-14T00:00:00Z,normal_volatility,uptrend,underwater,dispersion_stress,volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=dispersion_stress,True,0.006741249472052227,0.013010875555555579,0.031116065191625242,0.5161926303727155,0.004246580715956765
2025-01-15T00:00:00Z,low_volatility,sideways,recovery,dispersion_stress,volatility=low_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,True,0.0012018504251546578,0.00199988777777782,0.030147181256816924,-0.3404996056169858,0.006516663941258982
2025-01-16T00:00:00Z,normal_volatility,uptrend,recovery,dispersion_stress,volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=dispersion_stress,True,0.006309898162000304,0.011336325999999675,0.01947880025064197,0.43452525467829756,0.004581044179407634
2025-01-17T00:00:00Z,normal_volatility,uptrend,near_peak,correlation_stress,volatility=normal_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=correlation_stress,True,0.006429100507328637,0.02516714299999956,0.006732024653900437,0.9907371888916163,0.003270083225302218
2025-01-18T00:00:00Z,high_volatility,uptrend,underwater,correlation_stress,volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,True,0.01216552506059644,0.014925712999999785,0.015671436432015406,0.9999999999999999,0.001
2025-01-19T00:00:00Z,high_volatility,sideways,underwater,correlation_stress,volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,True,0.013650396819628846,-0.008163596000000162,0.027483379194831237,1.0,0.001
2025-01-20T00:00:00Z,low_volatility,downtrend,drawdown,correlation_stress,volatility=low_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,True,0.002999999999999994,-0.035578620000000005,0.04207112850690875,0.9902079118883451,0.001
2025-01-21T00:00:00Z,high_volatility,downtrend,recovery,correlation_stress,volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,True,0.01193035344544885,-0.020007740000000163,0.03536562640645724,0.9985141044234324,0.001
2025-01-22T00:00:00Z,high_volatility,sideways,recovery,correlation_stress,volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,True,0.013316656236958784,0.0008220549999997662,0.026683917044115435,0.9999893539322273,0.001
2025-01-23T00:00:00Z,low_volatility,uptrend,recovery,correlation_stress,volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,True,0.003605551275463985,0.01809512599999974,0.024737284878203702,1.0,0.001
2025-01-24T00:00:00Z,normal_volatility,uptrend,underwater,correlation_stress,volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,True,0.005131601439446881,0.010006981999999942,0.02571254759332553,1.0,0.001
