regime_label,dimension,surface,observation_count,coverage_status,primary_metric,primary_metric_value,metric_direction,positive_contribution_share,absolute_contribution_share,contribution_sign,metric_rank,is_best_regime,is_worst_regime,evidence_warning,coverage_caveat,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,2,sufficient,total_return,0.012035999999999936,desc,0.4619458837075443,0.22727015238203122,positive,1.0,True,False,,,0.012035999999999936,3.5153471079085543,0.0,0.0,0.0,0.0,1.0
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,strategy,2,sufficient,total_return,-0.018916000000000044,desc,0.0,0.3571819709586686,negative,5.0,False,True,,,-0.018916000000000044,-0.90984696984915,0.0035355339059327377,0.056124860801609125,-42.65489420922293,0.007000000000000006,0.0
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=correlation_stress,composite,strategy,2,sufficient,total_return,0.004002999999999757,desc,0.15363653809248898,0.07558677467474414,positive,3.0,False,False,,,0.004002999999999757,0.654288775268933,0.001414213562373095,0.02244994432064365,22.449944320643645,0.0,1.0
volatility=low_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,2,sufficient,total_return,0.010016000000000025,desc,0.38441757819996675,0.18912743820691613,positive,2.0,False,False,,,0.010016000000000025,2.5104271010747543,0.004242640687119285,0.06734983296193095,18.708286933869704,0.0,1.0
volatility=normal_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,strategy,2,sufficient,total_return,-0.007987999999999995,desc,0.0,0.1508336637776399,negative,4.0,False,False,,,-0.007987999999999995,-0.6359738049551374,0.00282842712474619,0.0448998886412873,-22.449944320643645,0.0020000000000000018,0.0
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,strategy,1,sparse,total_return,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,,
